Phrase,Intent,Tier,Book,Author,Target URL (en)
confessions pdf,PDF,1,Confessions,Augustine of Hippo,https://ochorus.com/books/confessions
augustine of hippo confessions,Author + title,1,Confessions,Augustine of Hippo,https://ochorus.com/books/confessions
confessions free online,Free online,2,Confessions,Augustine of Hippo,https://ochorus.com/books/confessions
confessions full text,Full text,2,Confessions,Augustine of Hippo,https://ochorus.com/books/confessions
confessions summary,Summary,3,Confessions,Augustine of Hippo,https://ochorus.com/books/confessions
days of heaven upon earth,Title (navigational),1,Days of Heaven Upon Earth,A. B. Simpson,https://ochorus.com/books/days-of-heaven-upon-earth
days of heaven upon earth read online,Read online,1,Days of Heaven Upon Earth,A. B. Simpson,https://ochorus.com/books/days-of-heaven-upon-earth
days of heaven upon earth pdf,PDF,1,Days of Heaven Upon Earth,A. B. Simpson,https://ochorus.com/books/days-of-heaven-upon-earth
a. b. simpson days of heaven upon earth,Author + title,1,Days of Heaven Upon Earth,A. B. Simpson,https://ochorus.com/books/days-of-heaven-upon-earth
days of heaven upon earth free online,Free online,2,Days of Heaven Upon Earth,A. B. Simpson,https://ochorus.com/books/days-of-heaven-upon-earth
days of heaven upon earth full text,Full text,2,Days of Heaven Upon Earth,A. B. Simpson,https://ochorus.com/books/days-of-heaven-upon-earth
days of heaven upon earth summary,Summary,3,Days of Heaven Upon Earth,A. B. Simpson,https://ochorus.com/books/days-of-heaven-upon-earth
divine healing,Title (navigational),1,Divine Healing,Andrew Murray,https://ochorus.com/books/divine-healing
divine healing read online,Read online,1,Divine Healing,Andrew Murray,https://ochorus.com/books/divine-healing
divine healing pdf,PDF,1,Divine Healing,Andrew Murray,https://ochorus.com/books/divine-healing
andrew murray divine healing,Author + title,1,Divine Healing,Andrew Murray,https://ochorus.com/books/divine-healing
divine healing free online,Free online,2,Divine Healing,Andrew Murray,https://ochorus.com/books/divine-healing
divine healing full text,Full text,2,Divine Healing,Andrew Murray,https://ochorus.com/books/divine-healing
divine healing summary,Summary,3,Divine Healing,Andrew Murray,https://ochorus.com/books/divine-healing
the enchiridion,Title (navigational),1,The Enchiridion,Augustine of Hippo,https://ochorus.com/books/enchiridion
the enchiridion read online,Read online,1,The Enchiridion,Augustine of Hippo,https://ochorus.com/books/enchiridion
the enchiridion pdf,PDF,1,The Enchiridion,Augustine of Hippo,https://ochorus.com/books/enchiridion
augustine of hippo the enchiridion,Author + title,1,The Enchiridion,Augustine of Hippo,https://ochorus.com/books/enchiridion
the enchiridion free online,Free online,2,The Enchiridion,Augustine of Hippo,https://ochorus.com/books/enchiridion
the enchiridion full text,Full text,2,The Enchiridion,Augustine of Hippo,https://ochorus.com/books/enchiridion
the enchiridion summary,Summary,3,The Enchiridion,Augustine of Hippo,https://ochorus.com/books/enchiridion
the epistles of ignatius and his life's story,Title (navigational),1,The Epistles of Ignatius and His Life's Story,Ignatius of Antioch,https://ochorus.com/books/epistles-of-ignatius
the epistles of ignatius and his life's story read online,Read online,1,The Epistles of Ignatius and His Life's Story,Ignatius of Antioch,https://ochorus.com/books/epistles-of-ignatius
the epistles of ignatius and his life's story pdf,PDF,1,The Epistles of Ignatius and His Life's Story,Ignatius of Antioch,https://ochorus.com/books/epistles-of-ignatius
ignatius of antioch the epistles of ignatius and his life's story,Author + title,1,The Epistles of Ignatius and His Life's Story,Ignatius of Antioch,https://ochorus.com/books/epistles-of-ignatius
the epistles of ignatius and his life's story free online,Free online,2,The Epistles of Ignatius and His Life's Story,Ignatius of Antioch,https://ochorus.com/books/epistles-of-ignatius
the epistles of ignatius and his life's story full text,Full text,2,The Epistles of Ignatius and His Life's Story,Ignatius of Antioch,https://ochorus.com/books/epistles-of-ignatius
the epistles of ignatius and his life's story summary,Summary,3,The Epistles of Ignatius and His Life's Story,Ignatius of Antioch,https://ochorus.com/books/epistles-of-ignatius
the essentials of prayer,Title (navigational),1,The Essentials of Prayer,E. M. Bounds,https://ochorus.com/books/essentials-of-prayer
the essentials of prayer read online,Read online,1,The Essentials of Prayer,E. M. Bounds,https://ochorus.com/books/essentials-of-prayer
the essentials of prayer pdf,PDF,1,The Essentials of Prayer,E. M. Bounds,https://ochorus.com/books/essentials-of-prayer
e. m. bounds the essentials of prayer,Author + title,1,The Essentials of Prayer,E. M. Bounds,https://ochorus.com/books/essentials-of-prayer
the essentials of prayer free online,Free online,2,The Essentials of Prayer,E. M. Bounds,https://ochorus.com/books/essentials-of-prayer
the essentials of prayer full text,Full text,2,The Essentials of Prayer,E. M. Bounds,https://ochorus.com/books/essentials-of-prayer
the essentials of prayer summary,Summary,3,The Essentials of Prayer,E. M. Bounds,https://ochorus.com/books/essentials-of-prayer
evening by evening,Title (navigational),1,Evening by Evening,Charles H. Spurgeon,https://ochorus.com/books/evening-by-evening
